train dataset: torch.Size([3, 84, 84]) (x38400), 64
fs dataset: torch.Size([3, 84, 84]) (x12000), 20
num params: 8.0M
epoch 1, train 3.8079|0.0875, 25.6s 25.6s/42.6m
epoch 2, train 3.3694|0.1623, 21.2s 46.8s/39.0m
epoch 3, train 3.0527|0.2214, 23.6s 1.2m/39.5m
epoch 4, train 2.8202|0.2696, 19.4s 1.5m/37.8m
epoch 5, train 2.6368|0.3118, fs 1: 0.4662 5: 0.6211, 41.0s 2.2m/44.1m
epoch 6, train 2.4968|0.3436, 19.6s 2.5m/42.3m
epoch 7, train 2.3743|0.3715, 19.5s 2.9m/41.0m
epoch 8, train 2.2793|0.3939, 19.4s 3.2m/40.0m
epoch 9, train 2.1978|0.4121, 19.4s 3.5m/39.2m
epoch 10, train 2.1215|0.4353, fs 1: 0.5067 5: 0.6760, 41.0s 4.2m/42.2m
epoch 11, train 2.0599|0.4455, 20.3s 4.6m/41.5m
epoch 12, train 2.0045|0.4623, 20.1s 4.9m/40.9m
epoch 13, train 1.9507|0.4760, 20.2s 5.2m/40.4m
epoch 14, train 1.9239|0.4813, 19.9s 5.6m/39.9m
epoch 15, train 1.8790|0.4896, fs 1: 0.4987 5: 0.6791, 41.0s 6.3m/41.8m
epoch 16, train 1.8479|0.4997, 20.2s 6.6m/41.3m
epoch 17, train 1.8238|0.5063, 19.9s 7.0m/40.9m
epoch 18, train 1.7873|0.5130, 20.2s 7.3m/40.5m
epoch 19, train 1.7597|0.5237, 20.6s 7.6m/40.2m
epoch 20, train 1.7465|0.5244, fs 1: 0.5400 5: 0.7085, 41.5s 8.3m/41.7m
epoch 21, train 1.7201|0.5321, 19.6s 8.7m/41.3m
epoch 22, train 1.7042|0.5366, 19.5s 9.0m/40.9m
epoch 23, train 1.6854|0.5416, 20.7s 9.4m/40.7m
epoch 24, train 1.6711|0.5417, 19.5s 9.7m/40.3m
epoch 25, train 1.6530|0.5456, fs 1: 0.5418 5: 0.7131, 40.9s 10.4m/41.5m
epoch 26, train 1.6442|0.5515, 19.6s 10.7m/41.2m
epoch 27, train 1.6322|0.5540, 20.2s 11.0m/40.9m
epoch 28, train 1.6194|0.5572, 19.5s 11.4m/40.6m
epoch 29, train 1.6065|0.5588, 19.5s 11.7m/40.4m
epoch 30, train 1.5949|0.5626, fs 1: 0.5306 5: 0.6976, 42.7s 12.4m/41.4m
epoch 31, train 1.5829|0.5665, 20.5s 12.8m/41.2m
epoch 32, train 1.5794|0.5673, 19.9s 13.1m/41.0m
epoch 33, train 1.5668|0.5708, 21.4s 13.5m/40.8m
epoch 34, train 1.5543|0.5728, 21.8s 13.8m/40.7m
epoch 35, train 1.5478|0.5763, fs 1: 0.5380 5: 0.7099, 43.8s 14.6m/41.6m
epoch 36, train 1.5474|0.5767, 19.6s 14.9m/41.4m
epoch 37, train 1.5423|0.5748, 20.1s 15.2m/41.2m
epoch 38, train 1.5476|0.5757, 20.2s 15.6m/41.0m
epoch 39, train 1.5261|0.5813, 20.7s 15.9m/40.9m
epoch 40, train 1.5324|0.5783, fs 1: 0.5219 5: 0.7019, 42.1s 16.6m/41.6m
epoch 41, train 1.5268|0.5795, 19.6s 17.0m/41.4m
epoch 42, train 1.5222|0.5812, 19.7s 17.3m/41.2m
epoch 43, train 1.5096|0.5890, 19.9s 17.7m/41.0m
epoch 44, train 1.5040|0.5864, 20.5s 18.0m/40.9m
epoch 45, train 1.5089|0.5884, fs 1: 0.5262 5: 0.6992, 40.9s 18.7m/41.5m
epoch 46, train 1.4975|0.5858, 19.6s 19.0m/41.3m
epoch 47, train 1.4935|0.5871, 19.5s 19.3m/41.2m
epoch 48, train 1.4960|0.5863, 19.5s 19.7m/41.0m
epoch 49, train 1.4913|0.5914, 19.5s 20.0m/40.8m
epoch 50, train 1.5022|0.5867, fs 1: 0.5320 5: 0.7028, 40.7s 20.7m/41.4m
epoch 51, train 1.4720|0.5953, 19.5s 21.0m/41.2m
epoch 52, train 1.4861|0.5936, 19.5s 21.4m/41.1m
epoch 53, train 1.4714|0.5943, 19.4s 21.7m/40.9m
epoch 54, train 1.4845|0.5939, 19.5s 22.0m/40.8m
epoch 55, train 1.4673|0.5970, fs 1: 0.5273 5: 0.7039, 40.7s 22.7m/41.3m
epoch 56, train 1.4648|0.5998, 19.5s 23.0m/41.1m
epoch 57, train 1.4636|0.5966, 19.5s 23.4m/41.0m
epoch 58, train 1.4582|0.6009, 19.5s 23.7m/40.8m
epoch 59, train 1.4691|0.5964, 19.5s 24.0m/40.7m
epoch 60, train 1.4598|0.6008, fs 1: 0.5400 5: 0.7134, 40.9s 24.7m/41.2m
epoch 61, train 1.4618|0.5976, 19.6s 25.0m/41.1m
epoch 62, train 1.4650|0.5976, 19.5s 25.4m/40.9m
epoch 63, train 1.4564|0.5984, 19.5s 25.7m/40.8m
epoch 64, train 1.4528|0.5979, 19.5s 26.0m/40.7m
epoch 65, train 1.4460|0.6002, fs 1: 0.5388 5: 0.7155, 40.8s 26.7m/41.1m
epoch 66, train 1.4447|0.6035, 19.6s 27.1m/41.0m
epoch 67, train 1.4469|0.6028, 19.5s 27.4m/40.9m
epoch 68, train 1.4505|0.6003, 19.4s 27.7m/40.8m
epoch 69, train 1.4479|0.5973, 19.6s 28.0m/40.6m
epoch 70, train 1.4408|0.6045, fs 1: 0.5338 5: 0.7144, 40.7s 28.7m/41.0m
epoch 71, train 1.4304|0.6086, 19.6s 29.1m/40.9m
epoch 72, train 1.4350|0.6061, 19.5s 29.4m/40.8m
epoch 73, train 1.4370|0.6029, 19.5s 29.7m/40.7m
