train dataset: miniimagenet
val dataset: torch.Size([3, 84, 84]) (x9600), 16
test dataset: torch.Size([3, 84, 84]) (x12000), 20
num params: 24.4M
epoch 1, train 3.7542|0.1977, val 1.2262|0.5256, tval 1.2320|0.5160, 2.3m 2.3m/46.5m (@7)
epoch 2, train 3.4692|0.2003, val 1.2898|0.4957, tval 1.2942|0.4864, 2.2m 4.5m/45.0m (@7)
epoch 3, train 3.3557|0.2019, val 1.3156|0.4858, tval 1.3206|0.4769, 2.2m 6.7m/44.6m (@7)
epoch 4, train 3.2634|0.2001, val 1.3428|0.4741, tval 1.3436|0.4695, 2.2m 8.9m/44.4m (@7)
epoch 5, train 3.1942|0.1993, val 1.3498|0.4725, tval 1.3572|0.4637, 2.2m 11.1m/44.3m (@7)
epoch 6, train 3.1373|0.2023, val 1.3742|0.4638, tval 1.3779|0.4587, 2.1m 13.2m/44.1m (@7)
epoch 7, train 3.0994|0.2010, val 1.3963|0.4544, tval 1.3975|0.4513, 2.2m 15.4m/44.0m (@7)
epoch 8, train 3.0689|0.1996, val 1.4096|0.4518, tval 1.4118|0.4487, 2.1m 17.6m/43.9m (@7)
epoch 9, train 3.0399|0.2014, val 1.4210|0.4492, tval 1.4211|0.4475, 2.1m 19.7m/43.8m (@7)
epoch 10, train 3.0182|0.1990, val 1.4328|0.4486, tval 1.4309|0.4480, 2.1m 21.9m/43.8m (@7)
epoch 11, train 2.9994|0.2020, val 1.4465|0.4467, tval 1.4458|0.4448, 2.1m 24.1m/43.7m (@7)
epoch 12, train 2.9776|0.1991, val 1.4532|0.4474, tval 1.4527|0.4451, 2.1m 26.2m/43.7m (@7)
epoch 13, train 2.9623|0.1991, val 1.4573|0.4521, tval 1.4589|0.4468, 2.1m 28.4m/43.6m (@7)
epoch 14, train 2.9442|0.2029, val 1.4695|0.4502, tval 1.4691|0.4460, 2.1m 30.5m/43.6m (@7)
