train dataset: miniimagenet
val dataset: torch.Size([3, 84, 84]) (x9600), 16
test dataset: torch.Size([3, 84, 84]) (x12000), 20
num params: 24.4M
epoch 1, train 3.6714|0.1980, val 1.2338|0.5206, tval 1.2383|0.5097, 2.2m 2.2m/43.6m (@7)
epoch 2, train 3.4357|0.1992, val 1.2938|0.4933, tval 1.3033|0.4815, 2.0m 4.2m/42.2m (@7)
epoch 3, train 3.3086|0.2005, val 1.3110|0.4886, tval 1.3183|0.4767, 2.0m 6.3m/41.7m (@7)
epoch 4, train 3.2162|0.2003, val 1.3363|0.4768, tval 1.3367|0.4721, 2.0m 8.3m/41.5m (@7)
epoch 5, train 3.1347|0.1986, val 1.3419|0.4758, tval 1.3510|0.4681, 2.0m 10.3m/41.4m (@7)
epoch 6, train 3.0856|0.2008, val 1.3712|0.4652, tval 1.3683|0.4615, 2.0m 12.4m/41.3m (@7)
epoch 7, train 3.0596|0.2001, val 1.3933|0.4538, tval 1.3865|0.4578, 2.0m 14.4m/41.2m (@7)
epoch 8, train 3.0378|0.1993, val 1.4004|0.4543, tval 1.3954|0.4548, 2.0m 16.5m/41.2m (@7)
epoch 9, train 3.0062|0.1997, val 1.4098|0.4545, tval 1.4085|0.4542, 2.0m 18.5m/41.2m (@7)
epoch 10, train 2.9815|0.2019, val 1.4272|0.4488, tval 1.4226|0.4501, 2.0m 20.6m/41.2m (@7)
epoch 11, train 2.9768|0.2006, val 1.4358|0.4530, tval 1.4339|0.4485, 2.0m 22.6m/41.1m (@7)
epoch 12, train 2.9701|0.1988, val 1.4467|0.4456, tval 1.4475|0.4437, 2.0m 24.7m/41.1m (@7)
epoch 13, train 2.9421|0.1990, val 1.4438|0.4585, tval 1.4459|0.4561, 2.0m 26.7m/41.1m (@7)
epoch 14, train 2.9475|0.2003, val 1.4590|0.4539, tval 1.4595|0.4506, 2.0m 28.8m/41.1m (@7)
epoch 15, train 2.9127|0.2005, val 1.4646|0.4578, tval 1.4668|0.4534, 2.0m 30.8m/41.1m (@7)
