train dataset: miniimagenet
val dataset: miniimagenet
test dataset: miniimagenet
num params: 24.4M
epoch 1, train 2.1923|0.7715, val 1.0312|0.6043, tval 1.0132|0.5999, 2.7m 2.7m/53.4m (@7)
epoch 2, train 1.3854|0.7824, val 1.0199|0.6092, tval 0.9987|0.6042, 2.5m 5.2m/52.0m (@7)
epoch 3, train 1.0636|0.7984, val 0.9887|0.6210, tval 0.9624|0.6170, 2.5m 7.8m/51.7m (@7)
epoch 4, train 0.9470|0.8097, val 1.0015|0.6148, tval 0.9823|0.6092, 2.5m 10.3m/51.5m (@7)
epoch 5, train 0.8972|0.8129, val 0.9658|0.6278, tval 0.9499|0.6213, 2.5m 12.8m/51.4m (@7)
epoch 6, train 0.8497|0.8208, val 0.9695|0.6264, tval 0.9496|0.6193, 2.5m 15.4m/51.3m (@7)
epoch 7, train 0.8262|0.8221, val 0.9757|0.6244, tval 0.9560|0.6174, 2.5m 17.9m/51.2m (@7)
epoch 8, train 0.7878|0.8316, val 0.9840|0.6221, tval 0.9757|0.6112, 2.5m 20.5m/51.2m (@7)
epoch 9, train 0.7652|0.8330, val 0.9635|0.6285, tval 0.9588|0.6152, 2.5m 23.0m/51.1m (@7)
epoch 10, train 0.7496|0.8371, val 0.9847|0.6200, tval 0.9766|0.6105, 2.5m 25.6m/51.1m (@7)
epoch 11, train 0.7355|0.8393, val 0.9805|0.6220, tval 0.9723|0.6141, 2.5m 28.1m/51.1m (@7)
epoch 12, train 0.7180|0.8428, val 0.9628|0.6286, tval 0.9559|0.6192, 2.5m 30.6m/51.1m (@7)
epoch 13, train 0.7022|0.8491, val 0.9433|0.6361, tval 0.9324|0.6269, 2.5m 33.2m/51.1m (@7)
epoch 14, train 0.6977|0.8459, val 0.9509|0.6338, tval 0.9460|0.6228, 2.5m 35.8m/51.1m (@7)
epoch 15, train 0.6822|0.8528, val 0.9539|0.6319, tval 0.9476|0.6212, 2.5m 38.3m/51.1m (@7)
epoch 16, train 0.6726|0.8529, val 0.9547|0.6329, tval 0.9472|0.6236, 2.5m 40.8m/51.1m (@7)
epoch 17, train 0.6732|0.8510, val 0.9602|0.6292, tval 0.9555|0.6176, 2.5m 43.4m/51.0m (@7)
epoch 18, train 0.6565|0.8578, val 0.9717|0.6249, tval 0.9636|0.6167, 2.5m 45.9m/51.0m (@7)
epoch 19, train 0.6492|0.8576, val 0.9522|0.6331, tval 0.9483|0.6225, 2.5m 48.5m/51.0m (@7)
epoch 20, train 0.6301|0.8641, val 0.9557|0.6307, tval 0.9594|0.6194, 2.5m 51.0m/51.0m (@7)
