train dataset: miniimagenet
num params: 16.0M
epoch 1, train 0.4810|1.0000, 52.3s 52.3s/17.4m (@52)
epoch 2, train 0.3054|1.0000, 42.5s 1.6m/15.8m (@34)
epoch 3, train 0.2353|1.0000, 44.0s 2.3m/15.5m (@26)
epoch 4, train 0.1902|1.0000, 43.1s 3.0m/15.2m (@12)
epoch 5, train 0.1606|1.0000, 46.3s 3.8m/15.3m (@27)
epoch 6, train 0.1386|1.0000, 45.5s 4.6m/15.3m (@18)
epoch 7, train 0.1237|1.0000, 44.1s 5.3m/15.2m (@63)
epoch 8, train 0.1107|1.0000, 44.3s 6.1m/15.2m (@42)
epoch 9, train 0.0998|1.0000, 43.8s 6.8m/15.1m (@10)
epoch 10, train 0.0917|1.0000, 45.6s 7.6m/15.2m (@9)
epoch 11, train 0.0856|1.0000, 43.5s 8.3m/15.1m (@17)
epoch 12, train 0.0777|1.0000, 43.9s 9.1m/15.1m (@56)
epoch 13, train 0.0723|1.0000, 44.0s 9.8m/15.1m (@16)
epoch 14, train 0.0678|1.0000, 45.8s 10.6m/15.1m (@45)
epoch 15, train 0.0633|1.0000, 42.9s 11.3m/15.0m (@5)
epoch 16, train 0.0588|1.0000, 44.5s 12.0m/15.0m (@63)
epoch 17, train 0.0548|1.0000, 43.1s 12.8m/15.0m (@12)
epoch 18, train 0.0521|1.0000, 41.7s 13.5m/15.0m (@32)
epoch 19, train 0.0493|1.0000, 42.7s 14.2m/14.9m (@37)
epoch 20, train 0.0459|1.0000, 43.0s 14.9m/14.9m (@60)
